distance_ratio,theta_ctx_mu_arm0,mean_final_regret_thompson,se_final_regret_thompson,mean_final_regret_pooled,se_final_regret_pooled,mean_final_regret_eb,se_final_regret_eb,winner
0.000000,0.000000,2.898479,0.009312,1.474623,0.045123,1.339963,0.023704,EB
0.250000,0.250000,2.960769,0.010216,1.660221,0.051735,1.912260,0.105077,Pooled TS
0.500000,0.500000,3.051884,0.011870,2.189794,0.055557,3.982847,0.274025,Pooled TS
0.750000,0.750000,3.132620,0.013203,4.040864,0.081708,5.205115,0.282227,Unpooled TS
1.000000,1.000000,3.159869,0.012113,7.765981,0.120035,6.788924,0.253268,Unpooled TS
1.250000,1.250000,3.148045,0.013698,13.662764,0.174432,10.125315,0.281770,Unpooled TS
1.500000,1.500000,3.134979,0.013201,22.504132,0.219659,14.323959,0.290867,Unpooled TS
2.000000,2.000000,3.130001,0.013789,41.456020,0.397327,19.940971,0.465868,Unpooled TS
3.000000,3.000000,3.478267,0.023265,81.785702,0.700930,7.337120,0.495085,Unpooled TS
