T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1.0000,0.4809,0.0074,0.4787,0.0078,0.4748,0.0078,0.0000,EB
11.0000,3.3238,0.0253,4.8225,0.0496,2.8154,0.0223,0.2308,EB
21.0000,3.9779,0.0271,8.7736,0.0986,3.4207,0.0223,0.1429,EB
31.0000,4.3288,0.0271,13.0013,0.1478,3.8208,0.0228,0.1107,EB
41.0000,4.6767,0.0285,16.9010,0.1915,4.1228,0.0254,0.0991,EB
51.0000,4.8893,0.0313,20.9214,0.2489,4.3890,0.0258,0.0880,EB
61.0000,5.0339,0.0315,24.8980,0.2790,4.5714,0.0292,0.0820,EB
71.0000,5.1533,0.0295,28.6485,0.3299,4.7628,0.0280,0.0736,EB
81.0000,5.3467,0.0325,33.4415,0.3646,4.9373,0.0270,0.0709,EB
91.0000,5.4974,0.0328,36.4672,0.3838,5.0397,0.0333,0.0674,EB
101.0000,5.5947,0.0355,40.3718,0.4589,5.1655,0.0326,0.0662,EB
111.0000,5.7159,0.0344,44.3921,0.4833,5.2684,0.0337,0.0623,EB
121.0000,5.8100,0.0345,48.1382,0.5852,5.3182,0.0370,0.0608,EB
131.0000,5.9601,0.0395,51.5936,0.6274,5.4027,0.0316,0.0601,EB
141.0000,6.0525,0.0387,57.9719,0.6007,5.5368,0.0363,0.0578,EB
151.0000,6.1213,0.0402,60.9000,0.6952,5.6462,0.0380,0.0566,EB
161.0000,6.1785,0.0371,63.5346,0.7396,5.7324,0.0374,0.0563,EB
171.0000,6.2872,0.0399,67.7469,0.7805,5.6941,0.0378,0.0555,EB
181.0000,6.3483,0.0386,71.8705,0.8045,5.9645,0.0404,0.0529,EB
191.0000,6.4041,0.0401,75.5160,0.8728,5.8837,0.0412,0.0532,EB
