T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5356,0.0091,0.5469,0.0080,0.5492,0.0089,0.0000,Unpooled
2,1.1027,0.0139,1.0651,0.0132,1.1158,0.0134,0.0000,Pooled
3,1.6190,0.0169,1.5190,0.0171,1.5581,0.0167,0.1083,Pooled
4,2.0861,0.0221,2.0469,0.0227,1.9283,0.0197,0.1345,EB
5,2.4881,0.0250,2.5595,0.0277,2.2015,0.0189,0.3054,EB
6,2.7512,0.0245,2.8779,0.0334,2.3780,0.0211,0.4085,EB
7,3.0391,0.0293,3.4066,0.0369,2.5339,0.0211,0.5016,EB
8,3.2619,0.0287,3.8593,0.0432,2.6787,0.0215,0.5534,EB
9,3.3715,0.0280,4.2777,0.0491,2.7990,0.0227,0.5883,EB
10,3.6328,0.0296,4.7197,0.0494,2.8937,0.0220,0.6159,EB
11,3.6468,0.0311,5.1018,0.0603,2.9524,0.0250,0.6422,EB
12,3.8401,0.0341,5.5849,0.0656,3.0169,0.0246,0.6608,EB
13,3.9354,0.0316,6.1292,0.0724,3.1595,0.0237,0.6838,EB
14,4.0457,0.0307,6.4432,0.0763,3.2155,0.0263,0.6872,EB
15,4.1210,0.0314,6.9354,0.0806,3.3221,0.0249,0.7118,EB
16,4.1768,0.0350,7.4105,0.0843,3.3606,0.0240,0.7090,EB
17,4.2741,0.0353,8.0608,0.0927,3.4132,0.0239,0.7302,EB
18,4.2736,0.0316,8.2924,0.1034,3.4341,0.0240,0.7350,EB
19,4.2953,0.0364,8.5287,0.0922,3.4746,0.0248,0.7422,EB
20,4.3772,0.0294,9.2208,0.1030,3.5973,0.0246,0.7539,EB
21,4.4020,0.0325,9.5025,0.1127,3.5867,0.0265,0.7540,EB
22,4.5143,0.0333,10.0831,0.1198,3.7028,0.0249,0.7638,EB
23,4.4708,0.0313,10.2819,0.1221,3.6442,0.0235,0.7769,EB
24,4.4588,0.0330,10.7689,0.1276,3.6966,0.0259,0.7765,EB
25,4.5854,0.0330,11.1907,0.1323,3.7971,0.0259,0.7801,EB
