T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5879,0.0099,0.5985,0.0087,0.6002,0.0096,0.0000,Unpooled
2,1.1923,0.0151,1.0401,0.0138,1.2113,0.0143,0.0000,Pooled
3,1.7601,0.0183,1.4170,0.0170,1.6538,0.0174,0.1083,Pooled
4,2.2649,0.0238,1.8114,0.0231,2.0084,0.0200,0.1345,Pooled
5,2.6913,0.0273,2.1823,0.0285,2.2715,0.0201,0.3174,Pooled
6,2.9727,0.0268,2.4694,0.0356,2.4069,0.0220,0.4075,EB
7,3.2883,0.0313,2.8125,0.0399,2.5895,0.0231,0.4880,EB
8,3.5196,0.0304,3.1744,0.0477,2.7371,0.0226,0.5363,EB
9,3.6286,0.0298,3.4657,0.0527,2.8216,0.0244,0.5658,EB
10,3.8767,0.0330,3.7919,0.0567,2.8955,0.0229,0.5910,EB
11,3.8921,0.0324,4.0373,0.0654,2.9883,0.0264,0.6149,EB
12,4.1127,0.0368,4.4133,0.0668,3.0286,0.0266,0.6323,EB
13,4.1715,0.0326,4.8691,0.0747,3.1530,0.0245,0.6502,EB
14,4.3301,0.0339,5.0600,0.0798,3.2067,0.0270,0.6524,EB
15,4.3754,0.0329,5.4178,0.0899,3.3174,0.0259,0.6787,EB
16,4.3958,0.0363,5.9078,0.0990,3.3466,0.0258,0.6853,EB
17,4.4918,0.0377,6.2772,0.0989,3.4073,0.0247,0.7015,EB
18,4.5264,0.0347,6.3813,0.1104,3.4485,0.0254,0.7053,EB
19,4.5671,0.0376,6.5876,0.0987,3.4683,0.0251,0.7129,EB
20,4.6263,0.0317,7.0703,0.1137,3.5764,0.0254,0.7233,EB
21,4.6652,0.0359,7.1562,0.1215,3.5746,0.0285,0.7198,EB
22,4.7423,0.0361,7.7223,0.1246,3.6925,0.0276,0.7322,EB
23,4.7111,0.0349,7.9404,0.1381,3.6359,0.0248,0.7392,EB
24,4.6978,0.0340,8.1743,0.1352,3.6920,0.0279,0.7420,EB
25,4.8471,0.0350,8.5268,0.1476,3.8023,0.0274,0.7462,EB
