T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5530,0.0034,0.5592,0.0034,0.5539,0.0035,0.0000,Unpooled
11,3.7221,0.0119,5.5167,0.0288,2.9901,0.0085,0.7378,EB
21,4.4359,0.0129,10.2904,0.0533,3.5982,0.0092,0.8289,EB
31,4.7553,0.0131,15.1654,0.0761,3.9493,0.0099,0.8593,EB
41,4.9985,0.0133,19.9284,0.1012,4.2170,0.0099,0.8762,EB
51,5.1892,0.0132,24.6172,0.1269,4.4435,0.0106,0.8872,EB
61,5.3636,0.0131,29.3910,0.1563,4.6337,0.0110,0.8952,EB
71,5.4947,0.0139,34.0279,0.1747,4.7971,0.0104,0.9007,EB
81,5.6650,0.0141,38.8177,0.2133,4.9174,0.0126,0.9046,EB
91,5.7626,0.0142,43.8567,0.2249,5.0187,0.0117,0.9084,EB
101,5.8886,0.0142,48.6949,0.2360,5.1552,0.0118,0.9117,EB
111,5.9595,0.0144,52.9136,0.2829,5.2728,0.0124,0.9137,EB
121,6.0669,0.0159,58.0486,0.3073,5.3472,0.0130,0.9170,EB
131,6.1530,0.0154,62.3547,0.3496,5.4376,0.0128,0.9178,EB
141,6.2401,0.0155,66.8742,0.3622,5.5191,0.0131,0.9206,EB
151,6.3145,0.0164,72.1910,0.4056,5.6086,0.0134,0.9221,EB
161,6.3836,0.0158,77.5026,0.3854,5.6769,0.0136,0.9230,EB
171,6.4490,0.0152,81.3905,0.4337,5.7587,0.0138,0.9246,EB
181,6.5235,0.0161,86.2302,0.4736,5.8609,0.0154,0.9259,EB
191,6.5897,0.0154,92.3363,0.4525,5.9125,0.0147,0.9270,EB
