T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5962,0.0038,0.6014,0.0037,0.5943,0.0037,0.0000,EB
2,1.1970,0.0057,0.9504,0.0048,1.2002,0.0055,0.0000,Pooled
3,1.7555,0.0074,1.2676,0.0075,1.6604,0.0068,0.1328,Pooled
4,2.2265,0.0082,1.6026,0.0089,2.0053,0.0078,0.2013,Pooled
5,2.6370,0.0089,1.9077,0.0110,2.2645,0.0077,0.4033,Pooled
6,2.9877,0.0109,2.2181,0.0125,2.4958,0.0087,0.5191,Pooled
7,3.2341,0.0111,2.5244,0.0149,2.6362,0.0095,0.5942,Pooled
8,3.4560,0.0121,2.8409,0.0176,2.7755,0.0087,0.6440,EB
9,3.6550,0.0120,3.1662,0.0215,2.8937,0.0089,0.6795,EB
10,3.8111,0.0119,3.5116,0.0221,2.9779,0.0096,0.7070,EB
11,3.9372,0.0114,3.8072,0.0243,3.0598,0.0089,0.7258,EB
12,4.0581,0.0129,4.0949,0.0286,3.1569,0.0090,0.7426,EB
13,4.1327,0.0140,4.4442,0.0291,3.2292,0.0102,0.7578,EB
14,4.2337,0.0133,4.7207,0.0318,3.3062,0.0093,0.7683,EB
15,4.2996,0.0126,4.9776,0.0346,3.3610,0.0101,0.7812,EB
16,4.3779,0.0129,5.3439,0.0375,3.4143,0.0093,0.7884,EB
17,4.4626,0.0128,5.7090,0.0373,3.4904,0.0093,0.7952,EB
18,4.4974,0.0126,5.9584,0.0408,3.5643,0.0106,0.8030,EB
19,4.5152,0.0136,6.3064,0.0442,3.5980,0.0094,0.8100,EB
20,4.5925,0.0127,6.6929,0.0405,3.6605,0.0093,0.8152,EB
21,4.6142,0.0126,6.9695,0.0485,3.6801,0.0098,0.8196,EB
22,4.6753,0.0134,7.3574,0.0493,3.7438,0.0100,0.8238,EB
23,4.6860,0.0134,7.4914,0.0482,3.7553,0.0098,0.8288,EB
24,4.7409,0.0123,7.9547,0.0583,3.8099,0.0097,0.8326,EB
25,4.7756,0.0138,8.1773,0.0602,3.8547,0.0104,0.8366,EB
