p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,2.9310,0.0187,3.6781,0.0463,2.9367,0.0177,Unpooled
0.1500,2.9769,0.0197,3.5828,0.0464,2.9460,0.0177,EB
0.2000,2.9732,0.0166,3.5248,0.0431,2.9648,0.0183,EB
0.2500,3.0241,0.0199,3.3731,0.0457,2.9455,0.0183,EB
0.3000,3.0911,0.0187,3.2762,0.0408,2.9813,0.0186,EB
0.3500,3.0957,0.0191,3.1897,0.0423,3.0091,0.0197,EB
0.4000,3.1439,0.0187,3.2207,0.0422,3.0600,0.0195,EB
0.4500,3.1891,0.0201,3.0261,0.0403,3.0729,0.0199,Pooled
0.5000,3.2162,0.0218,2.9050,0.0379,3.0960,0.0201,Pooled
