T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
1.0000,0.4761,0.0040,0.4769,0.0039,0.4827,0.0042,Unpooled
11.0000,3.3220,0.0145,4.9021,0.0299,2.7887,0.0111,EB
21.0000,3.9898,0.0157,9.2236,0.0559,3.4252,0.0124,EB
31.0000,4.3654,0.0153,13.4110,0.0853,3.8235,0.0138,EB
41.0000,4.6568,0.0159,17.8108,0.1088,4.1025,0.0133,EB
51.0000,4.8756,0.0163,22.1336,0.1335,4.3294,0.0133,EB
61.0000,5.0381,0.0175,26.5103,0.1611,4.5532,0.0145,EB
71.0000,5.2396,0.0172,30.6695,0.1873,4.7062,0.0160,EB
81.0000,5.3329,0.0187,34.7889,0.2285,4.8663,0.0145,EB
91.0000,5.4996,0.0179,39.1736,0.2539,4.9869,0.0158,EB
101.0000,5.6275,0.0179,42.9698,0.2985,5.1100,0.0181,EB
111.0000,5.6652,0.0183,46.8232,0.3231,5.2227,0.0172,EB
121.0000,5.7952,0.0171,51.6101,0.3260,5.3165,0.0175,EB
131.0000,5.9061,0.0196,56.1313,0.3695,5.4542,0.0188,EB
141.0000,6.0123,0.0199,60.3625,0.3927,5.5208,0.0208,EB
151.0000,6.0960,0.0207,64.7707,0.4058,5.6172,0.0184,EB
161.0000,6.1685,0.0199,69.8647,0.4566,5.6885,0.0186,EB
171.0000,6.2288,0.0213,73.9701,0.4463,5.8029,0.0225,EB
181.0000,6.3399,0.0221,77.0796,0.5074,5.8372,0.0204,EB
191.0000,6.4038,0.0242,80.8425,0.5088,5.9545,0.0210,EB
