p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,2.1491,0.0229,14.9858,0.4797,9.9595,0.4648,Unpooled
0.1500,2.1793,0.0275,13.4407,0.4914,9.5548,0.6169,Unpooled
0.2000,2.2434,0.0261,13.3941,0.5373,8.7315,0.3903,Unpooled
0.2500,2.3108,0.0268,12.6485,0.5038,8.5442,0.6786,Unpooled
0.3000,2.3792,0.0279,12.8756,0.5573,7.5060,0.4204,Unpooled
0.3500,2.4736,0.0277,11.0915,0.5012,7.4465,0.3263,Unpooled
0.4000,2.5175,0.0231,11.8029,0.5115,6.3208,0.3288,Unpooled
0.4500,2.6156,0.0281,10.7095,0.4872,6.0268,0.3277,Unpooled
0.5000,2.6983,0.0291,9.1038,0.4481,5.8042,0.3056,Unpooled
