p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,6.5318,0.2903,73.6484,2.4063,36.2379,2.2880,Unpooled
0.1500,6.1273,0.2608,65.8458,2.4625,32.9152,3.5386,Unpooled
0.2000,6.0083,0.2835,65.4082,2.6900,33.9165,2.2327,Unpooled
0.2500,6.3099,0.2639,61.6746,2.5130,31.0031,3.3781,Unpooled
0.3000,6.2090,0.3026,62.6286,2.7857,30.0987,2.1687,Unpooled
0.3500,5.8654,0.2103,53.6213,2.5071,25.2629,1.7464,Unpooled
0.4000,6.2527,0.3171,57.0837,2.5565,23.6415,1.8814,Unpooled
0.4500,5.5852,0.2130,51.3899,2.4442,19.2097,1.4855,Unpooled
0.5000,5.2201,0.1299,43.2708,2.2470,19.3323,1.5112,Unpooled
