p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,8.7241,0.1857,15.3889,0.4852,8.7489,0.3011,Unpooled
0.1500,8.2018,0.1539,13.8262,0.4955,8.1682,0.2465,EB
0.2000,8.1596,0.1402,13.7657,0.5422,8.2652,0.3178,Unpooled
0.2500,8.4264,0.1757,13.0172,0.5054,7.9097,0.2532,EB
0.3000,8.2003,0.1553,13.2373,0.5616,9.0418,0.6754,Unpooled
0.3500,8.0413,0.1591,11.4552,0.4981,7.6531,0.4636,EB
0.4000,8.1792,0.1491,12.1749,0.5162,7.7721,0.2968,EB
0.4500,7.9048,0.1374,11.0253,0.4999,7.5213,0.5027,EB
0.5000,7.7639,0.1674,9.4636,0.4531,7.4573,0.4468,EB
