p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,7.2213,0.1698,62.1720,2.4623,7.6641,0.2543,Unpooled
0.1500,7.3341,0.2368,58.6318,2.2983,8.6034,0.3944,Unpooled
0.2000,7.1755,0.1831,60.1365,2.5374,8.2625,0.3334,Unpooled
0.2500,7.6655,0.2449,63.7794,2.7254,8.4920,0.4787,Unpooled
0.3000,7.4589,0.1967,64.3792,2.5694,8.3278,0.3542,Unpooled
0.3500,8.0871,0.2787,63.2985,2.8081,8.7181,0.5110,Unpooled
0.4000,7.2189,0.1760,67.5849,2.8490,7.5738,0.2779,Unpooled
0.4500,7.4320,0.2197,59.2294,2.6937,8.6994,0.4270,Unpooled
0.5000,7.7837,0.2335,70.0339,3.3866,8.3185,0.3756,Unpooled
