p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,4.0062,0.0625,15.0589,0.4818,9.3913,0.4098,Unpooled
0.1500,3.8522,0.0661,13.4995,0.4931,8.6150,0.6912,Unpooled
0.2000,3.8327,0.0642,13.4656,0.5384,8.5845,0.4243,Unpooled
0.2500,3.9920,0.0633,12.7220,0.5054,8.3894,0.6640,Unpooled
0.3000,3.9997,0.0765,12.9445,0.5589,7.8838,0.3937,Unpooled
0.3500,3.9492,0.0545,11.1632,0.5014,7.3673,0.4644,Unpooled
0.4000,4.0862,0.0869,11.8825,0.5131,6.8484,0.3421,Unpooled
0.4500,3.9259,0.0528,10.7676,0.4888,6.2176,0.3510,Unpooled
0.5000,3.8925,0.0455,9.1823,0.4498,5.8879,0.2767,Unpooled
