p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,3.7880,0.0193,1.1239,0.0143,2.4172,0.0284,Pooled
0.1500,3.8166,0.0185,1.1106,0.0157,2.5151,0.0620,Pooled
0.2000,3.8772,0.0184,1.0775,0.0132,2.4984,0.0442,Pooled
0.2500,3.9180,0.0177,1.0613,0.0133,2.4620,0.0297,Pooled
0.3000,3.9642,0.0172,1.0614,0.0135,2.5257,0.0596,Pooled
0.3500,4.0026,0.0175,1.0375,0.0125,2.4679,0.0253,Pooled
0.4000,4.0500,0.0188,1.0419,0.0115,2.4992,0.0233,Pooled
0.4500,4.0822,0.0165,1.0012,0.0112,2.4999,0.0420,Pooled
0.5000,4.1283,0.0177,1.0039,0.0118,2.4952,0.0237,Pooled
