distance_ratio,theta_ctx_mu_arm0,mean_final_regret_thompson,se_final_regret_thompson,mean_final_regret_pooled,se_final_regret_pooled,mean_final_regret_eb,se_final_regret_eb,winner
0.000000,0.000000,5.189307,0.011896,0.112954,0.002844,2.698278,0.051195,Pooled TS
0.250000,0.250000,5.222287,0.012977,0.281414,0.007178,5.093292,0.137967,Pooled TS
0.500000,0.500000,5.182621,0.014240,0.908998,0.014974,8.346852,0.072308,Pooled TS
0.750000,0.750000,5.075228,0.013984,2.795393,0.032500,7.816985,0.077877,Pooled TS
1.000000,1.000000,5.056390,0.014277,6.056066,0.030624,7.249438,0.047669,Unpooled TS
1.250000,1.250000,5.178335,0.014424,2.817294,0.038896,7.774782,0.094760,Pooled TS
1.500000,1.500000,5.516278,0.017513,0.921337,0.016515,3.775152,0.090075,Pooled TS
2.000000,2.000000,6.371736,0.024958,0.127606,0.003719,2.605215,0.079484,Pooled TS
3.000000,3.000000,8.616802,0.050271,0.108828,0.003890,2.859754,0.065400,Pooled TS
