t,mean_regret_thompson,mean_regret_pooled,mean_regret_eb
187,5.458228,40.127995,8.091672
188,5.470143,40.333842,8.116597
189,5.482030,40.539688,8.141381
190,5.493749,40.745535,8.166037
191,5.505192,40.951381,8.190558
192,5.516738,41.157228,8.215312
193,5.528294,41.363074,8.240214
194,5.539957,41.568921,8.264530
195,5.551706,41.774767,8.289196
196,5.563196,41.980614,8.313800
197,5.574553,42.186460,8.338410
198,5.586171,42.392307,8.362535
199,5.597734,42.598154,8.386922
200,5.609409,42.804000,8.411131
