distance_ratio,theta_ctx_mu_arm0,mean_final_regret_thompson,se_final_regret_thompson,mean_final_regret_pooled,se_final_regret_pooled,mean_final_regret_eb,se_final_regret_eb,winner
0.000000,0.000000,2.937463,0.010280,1.514799,0.045714,1.302978,0.023260,EB
0.250000,0.250000,3.109465,0.011691,1.912183,0.056483,3.575882,0.276120,Pooled TS
0.500000,0.500000,3.345800,0.014465,3.264136,0.067229,14.221626,0.572709,Pooled TS
0.750000,0.750000,3.537486,0.016967,7.841062,0.110036,18.711465,0.444649,Unpooled TS
1.000000,1.000000,3.616983,0.016056,16.721691,0.162355,20.057573,0.302440,Unpooled TS
1.250000,1.250000,3.590986,0.017361,32.262330,0.247216,23.472652,0.307443,Unpooled TS
1.500000,1.500000,3.537176,0.018367,53.141826,0.314708,21.677506,0.589589,Unpooled TS
2.000000,2.000000,3.556123,0.018582,92.392467,0.317709,6.842748,0.261628,Unpooled TS
3.000000,3.000000,4.414763,0.035278,101.850688,0.466287,6.244411,0.090152,Unpooled TS
