T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1.0000,0.5198,0.0031,0.5182,0.0033,0.5250,0.0034,0.0000,Pooled
2.0000,1.0404,0.0052,0.8135,0.0043,1.0465,0.0050,0.0000,Pooled
3.0000,1.5236,0.0066,1.0845,0.0060,1.4564,0.0059,0.1502,Pooled
4.0000,1.9677,0.0082,1.3701,0.0079,1.7851,0.0067,0.2670,Pooled
5.0000,2.3183,0.0081,1.6276,0.0096,2.0315,0.0069,0.4775,Pooled
6.0000,2.6257,0.0091,1.9041,0.0119,2.2274,0.0073,0.5886,Pooled
7.0000,2.8881,0.0096,2.1652,0.0131,2.3760,0.0079,0.6590,Pooled
8.0000,3.0845,0.0103,2.4451,0.0156,2.5024,0.0076,0.7042,Pooled
9.0000,3.2605,0.0107,2.7430,0.0184,2.6305,0.0076,0.7377,EB
10.0000,3.4129,0.0108,3.0104,0.0189,2.7048,0.0079,0.7600,EB
11.0000,3.5406,0.0102,3.2613,0.0190,2.8108,0.0082,0.7775,EB
12.0000,3.6416,0.0104,3.5346,0.0230,2.9008,0.0081,0.7923,EB
13.0000,3.7359,0.0113,3.8659,0.0252,2.9654,0.0084,0.8060,EB
14.0000,3.8289,0.0124,4.0821,0.0268,3.0293,0.0087,0.8141,EB
15.0000,3.8719,0.0109,4.3617,0.0295,3.0921,0.0083,0.8244,EB
16.0000,3.9735,0.0118,4.7119,0.0332,3.1587,0.0086,0.8303,EB
17.0000,4.0289,0.0125,4.9237,0.0314,3.2241,0.0092,0.8385,EB
18.0000,4.0885,0.0106,5.2564,0.0342,3.2648,0.0088,0.8427,EB
19.0000,4.1265,0.0123,5.4988,0.0338,3.3307,0.0088,0.8491,EB
20.0000,4.1706,0.0114,5.7730,0.0411,3.3628,0.0084,0.8532,EB
21.0000,4.2240,0.0116,6.0108,0.0403,3.4192,0.0088,0.8572,EB
22.0000,4.2812,0.0121,6.3022,0.0450,3.4524,0.0080,0.8605,EB
23.0000,4.3053,0.0118,6.4959,0.0392,3.4985,0.0093,0.8629,EB
24.0000,4.3538,0.0120,6.7910,0.0496,3.5400,0.0089,0.8665,EB
25.0000,4.3929,0.0113,7.1470,0.0519,3.5795,0.0092,0.8713,EB
