conjecture,run,T,c,n_context,frac_opt_00,frac_opt_01,frac_opt_10,frac_opt_11,frac_state_dependent
conj1,2,21,0,42,0.214286,0.0952381,0.142857,0.547619,0.238095
conj1,2,21,1,58,0.310345,0.0344828,0.0689655,0.586207,0.103448
conj1,3,21,0,47,0.191489,0.106383,0.12766,0.574468,0.234043
conj1,3,21,1,53,0.150943,0.0377358,0.0754717,0.735849,0.113208
conj1,4,21,0,61,0.229508,0.114754,0.0655738,0.590164,0.180328
conj1,4,21,1,39,0.230769,0.153846,0,0.615385,0.153846
conj1,5,21,0,51,0.176471,0.0980392,0.0784314,0.647059,0.176471
conj1,5,21,1,49,0.265306,0.102041,0.122449,0.510204,0.22449
conj1,6,21,0,53,0.207547,0.0943396,0.0943396,0.603774,0.188679
conj1,6,21,1,47,0.191489,0.12766,0.0425532,0.638298,0.170213
conj1,7,21,0,46,0.108696,0.173913,0.0652174,0.652174,0.23913
conj1,7,21,1,54,0.222222,0.111111,0.0555556,0.611111,0.166667
conj1,8,21,0,43,0.186047,0.116279,0.162791,0.534884,0.27907
conj1,8,21,1,57,0.280702,0.157895,0.0877193,0.473684,0.245614
conj1,9,21,0,49,0.183673,0.183673,0.0204082,0.612245,0.204082
conj1,9,21,1,51,0.196078,0.0784314,0.0588235,0.666667,0.137255
conj1,10,21,0,51,0.254902,0.0588235,0.235294,0.45098,0.294118
conj1,10,21,1,49,0.183673,0.122449,0.122449,0.571429,0.244898
conj1,11,21,0,46,0.26087,0.0434783,0.195652,0.5,0.23913
conj1,11,21,1,54,0.296296,0.148148,0.111111,0.444444,0.259259
conj1,12,21,0,57,0.140351,0.175439,0.122807,0.561404,0.298246
conj1,12,21,1,43,0.186047,0.162791,0.139535,0.511628,0.302326
conj1,13,21,0,47,0.234043,0.106383,0.0851064,0.574468,0.191489
conj1,13,21,1,53,0.188679,0.113208,0.0943396,0.603774,0.207547
conj1,14,21,0,43,0.209302,0,0.209302,0.581395,0.209302
conj1,14,21,1,57,0.263158,0.175439,0.105263,0.45614,0.280702
conj1,15,21,0,52,0.153846,0.115385,0.173077,0.557692,0.288462
conj1,15,21,1,48,0.166667,0.0208333,0.0625,0.75,0.0833333
conj1,16,21,0,56,0.25,0.125,0.142857,0.482143,0.267857
conj1,16,21,1,44,0.25,0.204545,0.0227273,0.522727,0.227273
conj1,17,21,0,49,0.142857,0.0816327,0.0816327,0.693878,0.163265
conj1,17,21,1,51,0.333333,0.0392157,0.0588235,0.568627,0.0980392
conj1,18,21,0,49,0.142857,0.122449,0.142857,0.591837,0.265306
conj1,18,21,1,51,0.333333,0.0980392,0.0980392,0.470588,0.196078
conj1,19,21,0,40,0.25,0.1,0.175,0.475,0.275
conj1,19,21,1,60,0.216667,0.0833333,0.1,0.6,0.183333
conj1,0,31,0,50,0.2,0.12,0.16,0.52,0.28
conj1,0,31,1,50,0.28,0.08,0.06,0.58,0.14
conj1,1,31,0,49,0.204082,0.0612245,0.122449,0.612245,0.183673
conj1,1,31,1,51,0.215686,0.117647,0.117647,0.54902,0.235294
conj1,2,31,0,46,0.173913,0.217391,0.0434783,0.565217,0.26087
conj1,2,31,1,54,0.240741,0.0925926,0.111111,0.555556,0.203704
conj1,3,31,0,51,0.137255,0.0588235,0.215686,0.588235,0.27451
conj1,3,31,1,49,0.285714,0.122449,0.102041,0.489796,0.22449
conj1,4,31,0,51,0.196078,0.176471,0.0588235,0.568627,0.235294
conj1,4,31,1,49,0.326531,0.122449,0.122449,0.428571,0.244898
conj1,5,31,0,54,0.166667,0.0925926,0.111111,0.62963,0.203704
conj1,5,31,1,46,0.217391,0.0869565,0.108696,0.586957,0.195652
conj1,6,31,0,56,0.214286,0.160714,0.107143,0.517857,0.267857
conj1,6,31,1,44,0.227273,0.0909091,0.0909091,0.590909,0.181818
conj1,7,31,0,45,0.155556,0.111111,0.133333,0.6,0.244444
conj1,7,31,1,55,0.236364,0.0909091,0.0545455,0.618182,0.145455
conj1,8,31,0,52,0.192308,0.173077,0.0769231,0.557692,0.25
conj1,8,31,1,48,0.229167,0.104167,0.0416667,0.625,0.145833
conj1,9,31,0,54,0.222222,0.12963,0.0925926,0.555556,0.222222
conj1,9,31,1,46,0.23913,0.0869565,0.0434783,0.630435,0.130435
conj1,10,31,0,47,0.212766,0.148936,0.148936,0.489362,0.297872
conj1,10,31,1,53,0.339623,0.0377358,0.0566038,0.566038,0.0943396
conj1,11,31,0,56,0.25,0.142857,0.125,0.482143,0.267857
conj1,11,31,1,44,0.136364,0.0227273,0.0909091,0.75,0.113636
conj1,12,31,0,49,0.244898,0.183673,0.142857,0.428571,0.326531
conj1,12,31,1,51,0.254902,0.137255,0,0.607843,0.137255
conj1,13,31,0,45,0.222222,0.0222222,0.0666667,0.688889,0.0888889
conj1,13,31,1,55,0.218182,0.0363636,0.109091,0.636364,0.145455
conj1,14,31,0,50,0.32,0.1,0.08,0.5,0.18
conj1,14,31,1,50,0.24,0.06,0.1,0.6,0.16
conj1,15,31,0,52,0.192308,0.0961538,0.173077,0.538462,0.269231
conj1,15,31,1,48,0.291667,0.166667,0.0416667,0.5,0.208333
conj1,16,31,0,51,0.156863,0.0392157,0.0980392,0.705882,0.137255
conj1,16,31,1,49,0.183673,0.142857,0.183673,0.489796,0.326531
conj1,17,31,0,56,0.25,0.107143,0.0178571,0.625,0.125
conj1,17,31,1,44,0.159091,0.159091,0.113636,0.568182,0.272727
conj1,18,31,0,45,0.311111,0.111111,0.133333,0.444444,0.244444
conj1,18,31,1,55,0.290909,0,0.127273,0.581818,0.127273
conj1,19,31,0,55,0.236364,0.109091,0.127273,0.527273,0.236364
conj1,19,31,1,45,0.355556,0.111111,0.111111,0.422222,0.222222
conj1,0,41,0,62,0.225806,0.0645161,0.112903,0.596774,0.177419
conj1,0,41,1,38,0.184211,0.131579,0.105263,0.578947,0.236842
conj1,1,41,0,49,0.22449,0.0816327,0.0408163,0.653061,0.122449
conj1,1,41,1,51,0.294118,0.0588235,0.0784314,0.568627,0.137255
conj1,2,41,0,49,0.163265,0.142857,0.0816327,0.612245,0.22449
conj1,2,41,1,51,0.0980392,0.156863,0.137255,0.607843,0.294118
conj1,3,41,0,50,0.2,0.14,0.18,0.48,0.32
conj1,3,41,1,50,0.16,0.12,0.06,0.66,0.18
conj1,4,41,0,46,0.217391,0.130435,0.173913,0.478261,0.304348
conj1,4,41,1,54,0.296296,0.037037,0.0925926,0.574074,0.12963
conj1,5,41,0,55,0.218182,0.163636,0.127273,0.490909,0.290909
conj1,5,41,1,45,0.244444,0.133333,0.0444444,0.577778,0.177778
conj1,6,41,0,43,0.232558,0.0930233,0.209302,0.465116,0.302326
conj1,6,41,1,57,0.245614,0.140351,0.0526316,0.561404,0.192982
conj1,7,41,0,43,0.162791,0.186047,0.0930233,0.55814,0.27907
conj1,7,41,1,57,0.245614,0.140351,0.105263,0.508772,0.245614
conj1,8,41,0,49,0.183673,0.0816327,0.163265,0.571429,0.244898
conj1,8,41,1,51,0.196078,0.117647,0.0980392,0.588235,0.215686
conj1,9,41,0,59,0.305085,0.0847458,0.135593,0.474576,0.220339
conj1,9,41,1,41,0.170732,0.0731707,0.097561,0.658537,0.170732
conj1,10,41,0,51,0.215686,0.0980392,0.176471,0.509804,0.27451
conj1,10,41,1,49,0.204082,0,0.102041,0.693878,0.102041
conj1,11,41,0,45,0.222222,0.155556,0.0888889,0.533333,0.244444
conj1,11,41,1,55,0.163636,0.127273,0.0909091,0.618182,0.218182
conj1,12,41,0,54,0.166667,0.12963,0.0925926,0.611111,0.222222
conj1,12,41,1,46,0.26087,0.0869565,0.0869565,0.565217,0.173913
conj1,13,41,0,52,0.288462,0.0576923,0.0961538,0.557692,0.153846
conj1,13,41,1,48,0.25,0.0833333,0.104167,0.5625,0.1875
conj1,14,41,0,51,0.352941,0.117647,0.0980392,0.431373,0.215686
conj1,14,41,1,49,0.142857,0.0408163,0.0612245,0.755102,0.102041
conj1,15,41,0,43,0.116279,0.0697674,0.116279,0.697674,0.186047
conj1,15,41,1,57,0.192982,0.122807,0.0526316,0.631579,0.175439
conj1,16,41,0,42,0.214286,0.214286,0.0952381,0.47619,0.309524
conj1,16,41,1,58,0.224138,0.0689655,0.0689655,0.637931,0.137931
conj1,17,41,0,49,0.326531,0.0408163,0.0204082,0.612245,0.0612245
conj1,17,41,1,51,0.196078,0.117647,0.0196078,0.666667,0.137255
conj1,18,41,0,54,0.240741,0.12963,0.148148,0.481481,0.277778
conj1,18,41,1,46,0.23913,0.108696,0.152174,0.5,0.26087
conj1,19,41,0,49,0.183673,0.142857,0.0816327,0.591837,0.22449
conj1,19,41,1,51,0.254902,0.137255,0.137255,0.470588,0.27451
conj1,0,51,0,57,0.192982,0.157895,0.0701754,0.578947,0.22807
conj1,0,51,1,43,0.302326,0.0697674,0.0465116,0.581395,0.116279
conj1,1,51,0,48,0.291667,0.0833333,0.0625,0.5625,0.145833
conj1,1,51,1,52,0.192308,0.211538,0.0961538,0.5,0.307692
conj1,2,51,0,49,0.183673,0.142857,0.0408163,0.632653,0.183673
conj1,2,51,1,51,0.17647
