conjecture,run,T,c,s,mean_tau_counterfactual,sd_tau_counterfactual,frac_action1_counterfactual,n_actual_context,mean_tau_actual,sd_tau_actual,frac_action1_actual,obs_count,obs_freq,frac_action1_observed,regret_always1_observed,regret_always0_observed
conj1,12,1,0,0,0.415393,1.10459,0.59,44,0.652145,1.10161,0.75,28,0.28,0.785714,0.19358,0.832291
conj1,12,1,0,1,0.59899,1.47656,0.66,44,0.87058,1.39131,0.727273,16,0.16,0.75,0.174727,1.22589
conj1,12,1,1,0,0.386611,1.53164,0.61,56,0.282395,1.56237,0.571429,29,0.29,0.655172,0.370407,0.798822
conj1,12,1,1,1,0.570209,1.84924,0.62,56,0.438621,1.90441,0.607143,27,0.27,0.518519,0.626696,0.999019
conj1,13,1,0,0,0.422975,1.03688,0.68,55,0.352319,1.13697,0.618182,30,0.3,0.6,0.321742,0.722747
conj1,13,1,0,1,0.664879,1.42775,0.69,55,0.492865,1.52842,0.636364,25,0.25,0.64,0.324242,0.864937
conj1,13,1,1,0,0.653687,1.42946,0.65,45,0.574531,1.27704,0.622222,23,0.23,0.652174,0.160636,0.724074
conj1,13,1,1,1,0.895591,1.66854,0.7,45,0.940318,1.44868,0.688889,22,0.22,0.727273,0.194311,1.4124
conj1,14,1,0,0,0.314516,1.0376,0.63,49,0.216003,0.981864,0.591837,22,0.22,0.590909,0.330411,0.334701
conj1,14,1,0,1,0.437802,1.39835,0.6,49,0.418165,1.22995,0.612245,27,0.27,0.666667,0.296572,0.927843
conj1,14,1,1,0,0.41276,1.42699,0.6,51,0.513037,1.39455,0.607843,23,0.23,0.695652,0.198424,1.02012
conj1,14,1,1,1,0.536046,1.71162,0.63,51,0.560539,1.73582,0.607843,28,0.28,0.571429,0.62876,0.908514
conj1,15,1,0,0,0.413758,1.05255,0.63,46,0.398177,1.14222,0.608696,23,0.23,0.608696,0.19075,0.808457
conj1,15,1,0,1,0.75605,1.52126,0.74,46,0.828006,1.47557,0.782609,23,0.23,0.73913,0.324629,0.8339
conj1,15,1,1,0,0.758531,1.45306,0.71,54,0.935291,1.35439,0.777778,28,0.28,0.785714,0.165262,1.29898
conj1,15,1,1,1,1.10082,1.78555,0.76,54,1.20302,1.88185,0.777778,26,0.26,0.769231,0.218543,1.26829
conj1,16,1,0,0,0.407576,1.00526,0.68,50,0.424511,1.00524,0.66,21,0.21,0.714286,0.230137,0.615687
conj1,16,1,0,1,0.634454,1.28166,0.69,50,0.808793,1.30606,0.76,29,0.29,0.689655,0.238551,1.08937
conj1,16,1,1,0,0.483612,1.4276,0.61,50,0.502172,1.5708,0.54,25,0.25,0.56,0.364127,0.962053
conj1,16,1,1,1,0.710489,1.63552,0.7,50,0.571645,1.73775,0.64,25,0.25,0.64,0.453358,0.849223
conj1,17,1,0,0,0.411153,1.11847,0.65,59,0.385834,1.14029,0.661017,31,0.31,0.677419,0.293514,0.538407
conj1,17,1,0,1,0.531079,1.46904,0.68,59,0.526922,1.44397,0.677966,28,0.28,0.75,0.216198,1.10506
conj1,17,1,1,0,0.691736,1.52974,0.69,41,0.573517,1.42455,0.682927,22,0.22,0.545455,0.522685,0.81855
conj1,17,1,1,1,0.811662,1.77554,0.65,41,0.662991,1.81241,0.634146,19,0.19,0.736842,0.246845,1.29782
conj1,18,1,0,0,0.506467,0.91061,0.7,49,0.451029,0.984375,0.673469,21,0.21,0.809524,0.0831225,0.644491
conj1,18,1,0,1,0.662479,1.29289,0.65,49,0.602521,1.25951,0.693878,28,0.28,0.678571,0.30495,0.779652
conj1,18,1,1,0,0.630224,1.41335,0.7,51,0.642894,1.48019,0.686275,23,0.23,0.695652,0.148143,0.833461
conj1,18,1,1,1,0.786237,1.7324,0.67,51,0.80325,1.98671,0.666667,28,0.28,0.714286,0.507974,1.45107
conj1,19,1,0,0,0.350927,1.00656,0.59,52,0.30657,1.08149,0.538462,27,0.27,0.62963,0.17002,0.529425
conj1,19,1,0,1,0.567012,1.47605,0.68,52,0.454245,1.50643,0.615385,25,0.25,0.6,0.371752,0.80005
conj1,19,1,1,0,0.588556,1.36827,0.65,48,0.49221,1.3903,0.625,22,0.22,0.636364,0.411319,0.815959
conj1,19,1,1,1,0.804641,1.70022,0.69,48,0.782406,1.66715,0.666667,26,0.26,0.692308,0.258914,1.23431
conj1,0,11,0,0,0.444045,1.00436,0.67,51,0.256714,0.857094,0.647059,282,0.256364,0.656028,0.205339,0.481953
conj1,0,11,0,1,0.71638,1.36786,0.7,51,0.667511,1.29269,0.764706,279,0.253636,0.741935,0.324703,0.916317
conj1,0,11,1,0,0.758779,1.28443,0.72,49,0.987456,1.32527,0.755102,265,0.240909,0.766038,0.157591,1.11572
conj1,0,11,1,1,1.03111,1.52391,0.73,49,1.11568,1.55021,0.755102,274,0.249091,0.748175,0.257958,1.32004
conj1,1,11,0,0,0.522152,1.02255,0.69,50,0.541419,1.01038,0.68,297,0.27,0.700337,0.166495,0.765318
conj1,1,11,0,1,0.767193,1.43312,0.68,50,0.820167,1.45904,0.62,253,0.23,0.596838,0.2658,0.921382
conj1,1,11,1,0,0.556688,1.56568,0.65,50,0.606234,1.52515,0.68,280,0.254545,0.642857,0.357598,0.815477
conj1,1,11,1,1,0.801729,1.81824,0.65,50,0.817568,1.74768,0.68,270,0.245455,0.725926,0.372388,1.28225
conj1,2,11,0,0,0.351691,0.929754,0.69,46,0.358819,1.03641,0.717391,252,0.229091,0.686508,0.288317,0.627349
conj1,2,11,0,1,0.80077,1.39117,0.77,46,1.05969,1.48532,0.804348,254,0.230909,0.80315,0.228677,1.30565
conj1,2,11,1,0,0.651634,1.38915,0.74,54,0.562431,1.44882,0.740741,329,0.299091,0.720365,0.33666,0.868054
conj1,2,11,1,1,1.10071,1.79974,0.77,54,0.797023,1.77087,0.703704,265,0.240909,0.735849,0.343821,1.20376
conj1,3,11,0,0,0.35269,1.08987,0.65,40,0.533009,1.10627,0.7,221,0.200909,0.683258,0.262928,0.718555
conj1,3,11,0,1,0.678183,1.48061,0.67,40,0.824296,1.66897,0.625,219,0.199091,0.675799,0.285282,1.297
conj1,3,11,1,0,0.640202,1.45812,0.7,60,0.467513,1.48942,0.666667,321,0.291818,0.691589,0.351923,0.887947
conj1,3,11,1,1,0.965694,1.80749,0.64,60,0.81581,1.71657,0.633333,339,0.308182,0.60767,0.418234,1.15795
conj1,4,11,0,0,0.532515,0.901522,0.71,51,0.476387,0.920614,0.686275,301,0.273636,0.671096,0.185252,0.631226
conj1,4,11,0,1,0.616046,1.24864,0.7,51,0.468256,1.33599,0.627451,260,0.236364,0.626923,0.352911,0.813106
conj1,4,11,1,0,0.773622,1.33208,0.7,49,0.724735,1.30198,0.653061,276,0.250909,0.688406,0.236014,1.07152
conj1,4,11,1,1,0.857152,1.63725,0.72,49,0.903668,1.55985,0.734694,263,0.239091,0.692015,0.277388,1.06845
