T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.6005,0.0038,0.6062,0.0037,0.6000,0.0037,0.0000,EB
11,3.9650,0.0120,3.7520,0.0265,3.0204,0.0089,0.7196,EB
21,4.6927,0.0137,6.7490,0.0483,3.5814,0.0098,0.8076,EB
31,4.9939,0.0137,9.9201,0.0698,3.9313,0.0101,0.8401,EB
41,5.2128,0.0142,12.9253,0.0930,4.1865,0.0100,0.8576,EB
51,5.4183,0.0134,15.8771,0.1078,4.4246,0.0108,0.8691,EB
61,5.5679,0.0130,18.9764,0.1380,4.5818,0.0110,0.8782,EB
71,5.6952,0.0147,21.8749,0.1543,4.7452,0.0109,0.8837,EB
81,5.8450,0.0145,25.1583,0.1986,4.8773,0.0115,0.8879,EB
91,5.9480,0.0148,28.4164,0.2120,4.9735,0.0133,0.8921,EB
101,6.0450,0.0140,31.4575,0.2256,5.1229,0.0125,0.8951,EB
111,6.1267,0.0153,34.1140,0.2649,5.2043,0.0131,0.8982,EB
121,6.2355,0.0165,37.5632,0.2759,5.2759,0.0127,0.9009,EB
131,6.3205,0.0163,40.2416,0.3179,5.3740,0.0131,0.9024,EB
141,6.3894,0.0167,42.7772,0.3263,5.4443,0.0125,0.9050,EB
151,6.4741,0.0165,46.2162,0.3609,5.5298,0.0136,0.9066,EB
161,6.5286,0.0163,50.0473,0.3611,5.6206,0.0138,0.9081,EB
171,6.6184,0.0165,52.2766,0.4036,5.6803,0.0144,0.9087,EB
181,6.6796,0.0166,55.6665,0.4263,5.7725,0.0158,0.9111,EB
191,6.7329,0.0159,59.6036,0.3978,5.8253,0.0148,0.9125,EB
