p_context,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.1000,6.7256,0.0550,14.9715,0.4622,4.0287,0.0420,EB
0.1500,6.6925,0.0611,13.8939,0.4423,4.0997,0.0545,EB
0.2000,6.5581,0.0602,13.6346,0.4419,4.0894,0.0642,EB
0.2500,6.8361,0.0689,12.6861,0.4689,4.1565,0.0569,EB
0.3000,6.8769,0.0751,13.0558,0.4581,4.1570,0.0628,EB
0.3500,6.6446,0.0579,10.9397,0.3631,4.1360,0.0523,EB
0.4000,6.5919,0.0664,11.5124,0.3898,4.2573,0.0536,EB
0.4500,6.5521,0.0593,10.6605,0.3272,4.3698,0.0579,EB
0.5000,6.6306,0.0700,9.7868,0.3272,4.2663,0.0526,EB
