n,mu2,tau,sigma,t,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb
50,0,0.1,0.1,52,0.50544228,0.0028590514,2.635785,0.018795885,0.60664513,0.0091818298
50,0,0.1,0.1,53,0.50881216,0.0028881666,2.684635,0.019160101,0.61568364,0.0093516001
50,0,0.1,0.1,54,0.51206674,0.0029109677,2.7334415,0.019523049,0.62470731,0.0095210907
50,0,0.1,0.1,55,0.51539338,0.0029394077,2.7822515,0.019888513,0.63370959,0.009690362
50,0,0.1,0.1,56,0.51853758,0.0029604104,2.8310842,0.020249433,0.64271238,0.0098589496
50,0,0.1,0.1,57,0.52168404,0.0029777332,2.8799339,0.020609917,0.65170807,0.010027787
50,0,0.1,0.1,58,0.52480562,0.0029970536,2.9287193,0.020967496,0.66071427,0.010196737
50,0,0.1,0.1,59,0.52784178,0.0030180169,2.9775344,0.021326585,0.66970937,0.010366331
50,0,0.1,0.1,60,0.53095504,0.0030344744,3.0263194,0.021691062,0.67871026,0.010535689
50,0,0.1,0.1,61,0.53389102,0.0030573168,3.0751326,0.022056973,0.68769334,0.010705606
50,0,0.1,0.1,62,0.53694864,0.0030817455,3.1239841,0.022422548,0.69666344,0.010875785
50,0,0.1,0.1,63,0.53981091,0.0031003827,3.1728816,0.022776594,0.70562344,0.011045966
50,0,0.1,0.1,64,0.54276291,0.0031157809,3.2215699,0.023139013,0.71458212,0.011216139
50,0,0.1,0.1,65,0.54549085,0.0031367611,3.2704571,0.023500794,0.72355576,0.011386639
50,0,0.1,0.1,66,0.54828224,0.0031576785,3.3193333,0.023857357,0.73251786,0.011557452
50,0,0.1,0.1,67,0.550862,0.0031766238,3.3680316,0.024219191,0.74147688,0.01172846
50,0,0.1,0.1,68,0.55359825,0.0032030993,3.4167679,0.024580047,0.75043858,0.011899145
50,0,0.1,0.1,69,0.55640097,0.003218603,3.4654835,0.02494175,0.75939236,0.012070389
50,0,0.1,0.1,70,0.5590778,0.0032381267,3.514277,0.025300285,0.7683414,0.012241921
50,0,0.1,0.1,71,0.56185868,0.0032558808,3.5630425,0.025660832,0.7772856,0.012413632
50,0,0.1,0.1,72,0.56438226,0.0032769704,3.6118677,0.026019745,0.78622051,0.012585559
50,0,0.1,0.1,73,0.56699651,0.003290612,3.6608327,0.026374662,0.79514956,0.012757273
50,0,0.1,0.1,74,0.56954813,0.0033109907,3.7095692,0.026736206,0.80407678,0.012929246
50,0,0.1,0.1,75,0.57210362,0.0033345066,3.7583129,0.027093878,0.81299463,0.013101541
50,0,0.1,0.1,76,0.57462379,0.0033501522,3.8070588,0.027456951,0.82191594,0.013274028
50,0,0.1,0.1,77,0.57717095,0.0033642353,3.855765,0.027817163,0.83084005,0.013446409
50,0,0.1,0.1,78,0.57964256,0.003383799,3.9044489,0.028172315,0.8397557,0.013618981
50,0,0.1,0.1,79,0.58200278,0.0034027361,3.9531843,0.028528683,0.84866779,0.013791745
50,0,0.1,0.1,80,0.58435884,0.003426902,4.001892,0.028891567,0.85758599,0.013963835
50,0,0.1,0.1,81,0.58675815,0.0034488974,4.0506833,0.029254469,0.86649567,0.014136301
50,0,0.1,0.1,82,0.58911752,0.0034642836,4.099354,0.029604184,0.87540758,0.014308917
50,0,0.1,0.1,83,0.59157831,0.0034779903,4.1480188,0.029966283,0.88431221,0.014480561
50,0,0.1,0.1,84,0.59391608,0.0034946475,4.196715,0.030329117,0.89321198,0.014652365
50,0,0.1,0.1,85,0.59636519,0.0035059077,4.2455362,0.030691489,0.90210496,0.01482391
50,0,0.1,0.1,86,0.5986807,0.0035210726,4.2941353,0.031048066,0.91098628,0.014995745
50,0,0.1,0.1,87,0.60088352,0.0035339324,4.3428562,0.031405489,0.91986399,0.015167004
50,0,0.1,0.1,88,0.60306205,0.0035491136,4.3914921,0.031765422,0.92873203,0.01533859
50,0,0.1,0.1,89,0.60519508,0.0035663297,4.4401549,0.032128035,0.93759687,0.015510408
50,0,0.1,0.1,90,0.60744355,0.0035809795,4.4887463,0.032487444,0.94645179,0.015682151
50,0,0.1,0.1,91,0.60969141,0.0035973408,4.5373589,0.03284227,0.95529818,0.015853299
50,0,0.1,0.1,92,0.61192655,0.0036117522,4.5859487,0.033198313,0.96414297,0.016024949
50,0,0.1,0.1,93,0.61408875,0.0036323636,4.6346126,0.033549586,0.97298977,0.016196579
50,0,0.1,0.1,94,0.61624436,0.0036504884,4.6832629,0.033908662,0.98183571,0.016368328
50,0,0.1,0.1,95,0.61826381,0.0036681112,4.7319184,0.034268602,0.99067372,0.01654036
50,0,0.1,0.1,96,0.62032537,0.0036874027,4.7806472,0.034627433,0.99951213,0.016712439
50,0,0.1,0.1,97,0.62244061,0.0037038361,4.8293016,0.034989702,1.0083494,0.016884151
